Fighter: Evan Dunham                Glicko2: 1900.55
Fighter: Henry Corrales             Glicko2: 1900.18
Fighter: Trevin Giles               Glicko2: 1900.04
Fighter: Hakeem Dawodu              Glicko2: 1899.49
Fighter: Nate Diaz                  Glicko2: 1899.01
Fighter: Chris Gruetzemacher        Glicko2: 1898.61
Fighter: John Makdessi              Glicko2: 1898.46
Fighter: John Salter                Glicko2: 1898.38
Fighter: Shamil Abdurakhimov        Glicko2: 1897.67
Fighter: Nazareno Malegarie         Glicko2: 1896.36
Fighter: Alan Patrick (fighter)     Glicko2: 1895.89
Fighter: Andrew Craig               Glicko2: 1895.84
Fighter: Ok Rae Yoon                Glicko2: 1895.39
Fighter: Leonardo Santos (fighter)  Glicko2: 1895.3
Fighter: David Dvořák               Glicko2: 1895.09
Fighter: Nikita Krylov              Glicko2: 1894.33
Fighter: Vyacheslav Vasilevsky      Glicko2: 1894.32
Fighter: Davi Ramos                 Glicko2: 1893.63
Fighter: Costas Philippou           Glicko2: 1893.18
Fighter: Travis Fulton              Glicko2: 1892.66
Fighter: Jimi Manuwa                Glicko2: 1892.46
Fighter: Andre Fili                 Glicko2: 1892.2
Fighter: Gleison Tibau              Glicko2: 1891.89
Fighter: Daniel Kelly (judoka)      Glicko2: 1891.24
Fighter: Justin Willis (martial artist) Glicko2: 1891.18
Fighter: Alex Morono                Glicko2: 1890.61
Fighter: Héctor Lombard             Glicko2: 1890.31
Fighter: Augusto Montaño            Glicko2: 1890.01
Fighter: Bruno Santos               Glicko2: 1889.89
Fighter: Ryan Ford (fighter)        Glicko2: 1889.84
Fighter: Dustin Ortiz               Glicko2: 1889.57
Fighter: Hector Lombard             Glicko2: 1889.29
Fighter: Luiz Eduardo Garagorri     Glicko2: 1888.62
Fighter: Jason Black                Glicko2: 1888.39
Fighter: Cheick Kongo               Glicko2: 1888.18
Fighter: Jason High                 Glicko2: 1888.09
Fighter: John Lineker               Glicko2: 1887.54
Fighter: Richard Crunkilton         Glicko2: 1887.14
Fighter: Tyson Griffin              Glicko2: 1886.86
Fighter: Billy Quarantillo          Glicko2: 1886.84
Fighter: Joe Soto                   Glicko2: 1886.74
Fighter: Mike Brown (fighter)       Glicko2: 1886.34
Fighter: Murad Zeinulabidov         Glicko2: 1886.31
Fighter: Aleksander Emelianenko     Glicko2: 1886.06
Fighter: Alexander Emelianenko      Glicko2: 1886.06
Fighter: Mark Bocek                 Glicko2: 1885.6
Fighter: Zach Micklewright          Glicko2: 1885.17
Fighter: Tim Sylvia                 Glicko2: 1884.99
Fighter: Marlon Sandro              Glicko2: 1884.85
Fighter: Zubaira Tukhugov           Glicko2: 1884.63
Fighter: Justin Wren                Glicko2: 1884.24
Fighter: Adlan Amagov               Glicko2: 1884.03
Fighter: Alonzo Menifield           Glicko2: 1883.75
Fighter: Tatsuya Kawajiri           Glicko2: 1883.49
Fighter: Joe Lauzon                 Glicko2: 1882.98
Fighter: Travis Browne              Glicko2: 1882.59
Fighter: Anthony Smith (mixed martial artist) Glicko2: 1882.52
Fighter: Jason Sampson              Glicko2: 1882.38
Fighter: Rick Glenn                 Glicko2: 1882.24
Fighter: Ricardo Tirloni            Glicko2: 1881.73
Fighter: Raul Castillo              Glicko2: 1881.12
Fighter: Cathal Pendred             Glicko2: 1881.0
Fighter: Ian Heinisch               Glicko2: 1880.86
Fighter: Mike Russow                Glicko2: 1880.56
Fighter: Yushin Okami               Glicko2: 1880.0
Fighter: Jason Knight (fighter)     Glicko2: 1879.87
Fighter: Jeremy Spoon               Glicko2: 1879.65
Fighter: Karl Albrektsson           Glicko2: 1879.51
Fighter: Pascal Krauss              Glicko2: 1879.44
Fighter: Roberto Soldić             Glicko2: 1879.42
Fighter: Nick Diaz                  Glicko2: 1878.92
Fighter: Jeremy Williams (boxer)    Glicko2: 1878.81
Fighter: Charles Rosa               Glicko2: 1878.45
Fighter: Andy Murad                 Glicko2: 1878.44
Fighter: Shane Roller               Glicko2: 1878.26
Fighter: Chris Tuchscherer          Glicko2: 1878.25
Fighter: Danny Castillo             Glicko2: 1877.98
Fighter: Zhang Tiequan              Glicko2: 1877.36
Fighter: Billy Evangelista          Glicko2: 1877.25
Fighter: Jason Brilz                Glicko2: 1877.08
Fighter: Jordan Parsons             Glicko2: 1876.8
Fighter: Jake O'Brien               Glicko2: 1876.76
Fighter: Geoff Neal                 Glicko2: 1876.75
Fighter: Norman Parke               Glicko2: 1876.23
Fighter: Diego Nunes (fighter)      Glicko2: 1876.2
Fighter: Spencer Fisher             Glicko2: 1876.17
Fighter: Felipe Colares             Glicko2: 1875.89
Fighter: Tim Boetsch                Glicko2: 1875.27
Fighter: Terry Etim                 Glicko2: 1875.23
Fighter: Steve Carl                 Glicko2: 1874.87
Fighter: Damir Hadzovic             Glicko2: 1874.81
Fighter: Damir Hadžović             Glicko2: 1874.81
Fighter: Paddy Holohan              Glicko2: 1874.68
Fighter: Patrick Holohan            Glicko2: 1874.68
Fighter: Jon Madsen                 Glicko2: 1874.44
Fighter: Kevin Aguilar              Glicko2: 1874.31
Fighter: Tamdan McCrory             Glicko2: 1874.15
Fighter: Rani Yahya                 Glicko2: 1873.78
Fighter: Sean Woodson               Glicko2: 1873.74
Fighter: Chad Griggs                Glicko2: 1873.72
Fighter: Robert Drysdale            Glicko2: 1873.52
Fighter: David Terrell (fighter)    Glicko2: 1873.37
Fighter: Bobby Green (fighter)      Glicko2: 1873.19
Fighter: Michail Tsarev             Glicko2: 1872.52
Fighter: Cláudio Silva              Glicko2: 1872.06
Fighter: Sam Oropeza                Glicko2: 1870.76
Fighter: Jordan Radev               Glicko2: 1870.63
Fighter: Chad Laprise               Glicko2: 1870.62
Fighter: Kwan Ho Kwak               Glicko2: 1870.52
Fighter: Jamie Mullarkey            Glicko2: 1870.32
Fighter: Eryk Anders                Glicko2: 1870.02
Fighter: Eric Wisely                Glicko2: 1868.95
Fighter: Rafael Carvalho            Glicko2: 1868.83
Fighter: Ovince Saint Preux         Glicko2: 1868.78
Fighter: Ovince St. Preux           Glicko2: 1868.78
Fighter: Jake Shields               Glicko2: 1868.45
Fighter: James Vick                 Glicko2: 1867.88
Fighter: Kevin Holland              Glicko2: 1864.69
Fighter: Attila Vegh (fighter)      Glicko2: 1864.67
Fighter: Attila Végh                Glicko2: 1864.67
Fighter: Leonardo Leite             Glicko2: 1864.32
Fighter: Magnus Cedenblad           Glicko2: 1864.18
Fighter: Drew Dober                 Glicko2: 1864.18
Fighter: Jeremy Stephens            Glicko2: 1864.06
Fighter: Alexandre Bezerra          Glicko2: 1864.05
Fighter: Liam McGeary               Glicko2: 1864.04
Fighter: Uriah Hall                 Glicko2: 1863.73
Fighter: Nik Lentz                  Glicko2: 1863.45
Fighter: Phil De Fries              Glicko2: 1863.29
Fighter: Philip De Fries            Glicko2: 1863.29
Fighter: Yoshitaka Naito            Glicko2: 1862.68
Fighter: Brandon Bender             Glicko2: 1862.66
Fighter: Damian Grabowski           Glicko2: 1862.23
Fighter: Louis Smolka               Glicko2: 1861.91
Fighter: Takashi Sato               Glicko2: 1861.76
Fighter: Luke Sanders               Glicko2: 1861.6
Fighter: Mike Whitehead             Glicko2: 1861.42
Fighter: Josh Koscheck              Glicko2: 1861.05
Fighter: Dongi Yang                 Glicko2: 1861.02
Fighter: Brendan Schaub             Glicko2: 1860.82
